chrom	chromStart	chromEnd
chr6	20575341	20575440
chr6	20868561	20868700
chr16	53715021	53715140
chr16	53722961	53723120
chr16	53726781	53726960
chr16	53895541	53895660
chr16	53967321	53967440
chr16	54067721	54067840
chr9	19115541	19115640
chr4	23813941	23814040
chr2	20318521	20318640
chr10	112986401	112986580
chr10	113115661	113115780
chr16	49491001	49491120
chr19	4511281	4511420
chr6	20824841	20825040
chr10	125063561	125063740
chr4	184785521	184785700
chr11	2388281	2388480
chr10	113119601	113119780
chr8	17764321	17764500
chr10	113162901	113163080
chr10	125124201	125124440
chr1	3304961	3305140
chr17	60444121	60444300
chr6	21134381	21134540
chr6	20922661	20922840
chr10	125041681	125041880
chr3	12379801	12379980
chr6	20694521	20694700
chr3	12287761	12287940
chr6	20624301	20624480
chr8	17780981	17781160
chr6	20964981	20965100
chr16	54143621	54143740
chr4	23874041	23874340
chr1	3273361	3273480
chr3	12368121	12368240
chr1	3173221	3173400
chr2	135794941	135795120
chr9	137819664	137819823
chr16	19852241	19852380
chr16	49846401	49846580
chr6	21109281	21109420
chr1	65495421	65495600
chr8	27462681	27462860
chr2	226733461	226733600
chr1	156213540	156213679
chr20	50190141	50190320
chr4	184805521	184805700
chr8	17644961	17645100
chr1	3169881	3170060
chr4	184792681	184792860
chr16	54128581	54128700
chr5	96431241	96431420
chr1	3377641	3377820
chr1	3275801	3275960
chr12	109254341	109254520
chr16	53856281	53856460
chr8	19957401	19957540
chr10	125047001	125047180
chr11	827141	827320
chr10	125050561	125050720
chr16	49605741	49605860
chr2	26706501	26706620
chr3	12422961	12423140
chr6	21182321	21182480
chr7	128251081	128251240
chr10	113139841	113139980
chr7	128243581	128243760
chr6	21156841	21157020
chr22	38109581	38110020
chr22	32051701	32051860
chr8	17722401	17722580
chr4	54253241	54253460
chr6	20668241	20668400
chr8	17669501	17669660
chr10	125105601	125105760
chr1	3371161	3371300
chr16	54048981	54049140
chr1	3276241	3276440
chr2	20303361	20303540
chr3	12401121	12401240
chr2	86490001	86490180
chr2	226798681	226798840
chr16	53915501	53915680
chr8	19925121	19925300
chr16	49681861	49681980
chr8	19957961	19958060
chr19	4511441	4511540
chr5	96388981	96389160
chr6	21062481	21062640
chr3	195568741	195568880
chr8	17646961	17647080
chr1	3211581	3211740
chr2	20281061	20281240
chr7	74561921	74562080
chr8	19928541	19928680
chr8	17718801	17718960
chr10	112945921	112946040
chr8	17739661	17739780
chr1	3116341	3116460
chr16	54012601	54012760
chr8	17732801	17732920
chr10	125160981	125161140
chr4	23852121	23852280
chr3	12399401	12399500
chr4	184764361	184764500
chr2	86472501	86472660
chr8	17801481	17801660
chr4	54276981	54277140
chr8	27479861	27480040
chr10	125049261	125049440
chr1	65592221	65592380
chr15	89680021	89680200
chr3	12374801	12374920
chr2	26698001	26698140
chr6	21111241	21111420
chr4	184764841	184765000
chr6	21009161	21009340
chr6	21222121	21222280
chr16	54154221	54154380
chr1	3261981	3262160
chr1	153534980	153535159
chr6	21114401	21114500
chr16	54097441	54097600
chr10	125138401	125138520
chr1	65515001	65515120
chr1	3231461	3231620
chr3	186845041	186845160
chr3	12378641	12378800
chr16	49713601	49713740
chr12	39550541	39550720
chr6	21233201	21233320
chr3	12396381	12396500
chr17	42852781	42852920
chr1	3114001	3114220
chr1	3240801	3240960
chr4	23895941	23896040
chr4	23793641	23793780
chr19	44892361	44892460
chr17	7291721	7291880
chr16	53729001	53729120
chr19	4508961	4509100
chr10	112964701	112964800
chr1	3328941	3329120
chr4	184770701	184770820
chr13	80334941	80335040
chr3	12389541	12389660
chr9	19154141	19154280
chr6	20902981	20903100
chr4	23861001	23861180
chr10	112982141	112982280
chr19	44907521	44907680
chr8	17763641	17763820
chr6	21203861	21203980
chr8	27466121	27466240
chr6	21032281	21032420
chr16	86569581	86569740
chr7	74553561	74553660
chr2	20350821	20351000
chr6	21036181	21036320
chr4	140556741	140556900
chr6	20624781	20624960
chr4	23881941	23882080
chr16	49561821	49562000
chr11	75776521	75776700
chr11	75778361	75778540
chr16	53962421	53962520
chr16	53974581	53974740
chr16	54017221	54017360
chr2	86463361	86463520
chr4	23806441	23806560
chr4	140572421	140572560
chr6	20966021	20966140
chr16	53764861	53765000
chr11	43838201	43838300
chr1	3169761	3169920
chr2	20244901	20245040
chr16	54035461	54035620
chr2	20265721	20265820
chr4	184800701	184800820
chr3	12368881	12369040
chr6	20690321	20690480
chr1	3165741	3165860
chr16	49808641	49808800
chr4	184824461	184824600
chr5	96391901	96392080
chr10	113118521	113118640
chr8	17727461	17727580
chr4	23845361	23845460
chr4	23869601	23869760
chr16	49603681	49603840
chr4	23775141	23775260
chr16	54123741	54123880
chr6	20752061	20752160
chr6	21185281	21185440
chr16	54086961	54087080
chr2	86468281	86468400
chr8	17771601	17771760
chr16	49852961	49853120
chr12	39615541	39615700
chr6	20641661	20641820
chr6	20785681	20785860
chr6	21010061	21010220
chr6	21157101	21157240
chr1	65440181	65440360
chr8	17695521	17695660
chr8	17740301	17740460
chr1	3368801	3368940
chr16	53891841	53891980
chr16	53775641	53775740
chr16	53944901	53945080
chr16	53989601	53989720
chr6	20716861	20716960
chr10	125160921	125161020
chr3	12345221	12345340
chr2	226735101	226735200
chr17	1295841	1296000
chr6	20760301	20760400
chr16	53740001	53740120
chr16	54061361	54061540
chr7	74519421	74519540
chr2	226754241	226754400
chr4	23854681	23854820
chr10	113147961	113148060
chr16	49823121	49823220
chr19	40282721	40282820
chr10	125038041	125038160
chr4	23896541	23896700
chr6	20846261	20846380
chr6	21190161	21190280
chr16	53862981	53863140
chr1	3124341	3124500
chr16	49862661	49862760
chr10	112989921	112990060
chr16	49687981	49688120
chr1	3284121	3284300
chr6	21063461	21063580
chr10	125128621	125128800
chr11	75791921	75792060
chr7	74479101	74479240
chr2	86483021	86483120
chr8	17683201	17683340
chr1	3310501	3310600
chr4	23846041	23846220
chr6	21225401	21225500
chr9	19111501	19111600
chr4	23886981	23887080
chr16	53808621	53808800
chr8	19943821	19943940
chr16	53726221	53726360
chr6	20639381	20639480
chr6	21030761	21030880
chr2	226778541	226778640
chr8	19963061	19963160
chr4	54260321	54260480
chr1	65506581	65506700
chr6	20794381	20794520
chr12	109140201	109140300
chr19	40246841	40246940
chr6	20564901	20565020
chr6	21190641	21190780
chr3	9869801	9869980
chr11	43687421	43687520
chr7	155308541	155308640
chr8	17687361	17687460
chr19	4507101	4507220
chr3	12297941	12298040
chr4	23801881	23802020
chr10	113169121	113169280
chr16	49755161	49755260
chr10	125125101	125125260
chr6	20545901	20546040
chr4	1207141	1207260
chr3	12323901	12324000
chr1	3154121	3154220
chr1	3124961	3125120
chr7	74547241	74547360
chr1	3241101	3241220
chr6	20964881	20965020
chr16	54077481	54077600
chr11	43791301	43791420
chr16	53811801	53811920
chr2	26697521	26697640
chr12	39580081	39580180
chr10	125130821	125130980
chr8	17788501	17788600
chr6	20729621	20729720
chr6	21138781	21138880
chr7	74560221	74560340
chr2	26731801	26731940
chr10	112962181	112962280
chr19	40235781	40235960
chr17	42856081	42856240
chr16	19857261	19857380
chr2	226799421	226799580
chr10	125106401	125106540
chr6	20910741	20910840
chr11	75760661	75760760
chr9	137824764	137824863
chr16	54098421	54098520
chr19	4522001	4522100
chr13	80340721	80340880
chr10	112946361	112946480
chr6	20939481	20939660
chr10	125060781	125060940
chr4	23806601	23806780
chr4	23858661	23858760
chr1	65431981	65432140
chr16	53703981	53704120
chr6	20768661	20768780
chr6	20959981	20960140
chr10	125050861	125050960
chr11	825541	825680
chr15	89675981	89676080
chr19	40247561	40247700
chr6	20997181	20997320
chr4	99301801	99301980
chr16	53967041	53967220
chr4	23831101	23831260
chr16	49639441	49639540
chr2	86439241	86439340
chr4	23767841	23768020
chr16	19882401	19882540
chr2	86439841	86439940
chr1	3277781	3277880
chr1	3357481	3357580
chr12	109214621	109214720
chr8	17804661	17804840
chr6	20762201	20762300
chr4	23788841	23788940
chr16	53838981	53839100
chr8	17764801	17764900
chr11	816421	816520
chr3	12312341	12312460
chr10	125034841	125035020
chr10	113163241	113163340
chr6	21006201	21006360
chr3	12299161	12299280
chr6	20847341	20847440
chr6	20699981	20700080
chr6	20872561	20872660
chr3	12290301	12290400
chr1	3149361	3149460
chr6	21231901	21232000
chr2	226734321	226734460
chr7	128242381	128242500
chr3	12352121	12352240
chr16	54109681	54109780
chr8	17788441	17788540
chr6	21204421	21204540
chr8	17650481	17650580
chr10	113014081	113014200
chr16	49639501	49639600
chr6	20840561	20840680
chr16	49703041	49703220
chr10	124999581	124999720
chr10	35038921	35039040
chr9	137763344	137763463
chr1	3120921	3121020
chr12	21526061	21526160
chr1	65535981	65536100
chr1	65594801	65594920
chr12	109145721	109145820
chr9	137782444	137782603
chr1	65522381	65522480
chr4	23858721	23858840
chr16	53974801	53974980
chr16	53964501	53964620
chr4	23856381	23856520
chr2	20337741	20337840
chr4	184790521	184790660
chr8	17764001	17764180
chr4	140573341	140573460
chr2	20324841	20325000
chr22	32047141	32047240
chr6	20787281	20787380
chr6	21034321	21034440
chr16	54062621	54062760
chr16	53764701	53764800
chr8	17687421	17687540
chr6	20999121	20999240
chr2	86440881	86441000
chr8	17760281	17760400
chr8	19925401	19925500
chr17	42849981	42850100
chr2	86440481	86440600
chr6	21233481	21233580
chr16	54050681	54050840
chr4	99300301	99300420
chr6	21110381	21110560
chr1	3266321	3266500
chr16	49625061	49625180
chr4	184801781	184801920
chr10	125009601	125009720
chr22	32068921	32069020
chr16	53962941	53963040
chr8	19926481	19926600
chr10	113100501	113100640
chr10	112991921	112992020
chr4	23828641	23828760
chr6	20729561	20729660
chr2	20268221	20268360
chr22	32062481	32062620
chr10	112998581	112998700
